cityLabel,population,countryLabel,gps,longitude,latitude
Indore,2201927,India,Point(75.847222222 22.720555555),75.85,22.72
Suizhou,2200000,People's Republic of China,Point(113.3658 31.71755),113.37,31.72
Houston,2195914,United States of America,Point(-95.383055555 29.762777777),-95.38,29.76
Hezhou,2184000,People's Republic of China,Point(111.547777777 24.416388888),111.55,24.42
Baku,2181800,Azerbaijan,Point(49.835183333 40.366655555),49.84,40.37
Huaibei,2158000,People's Republic of China,Point(116.78904 33.95618),116.79,33.96
Xining,2154000,People's Republic of China,Point(101.77866 36.62386),101.78,36.62
Basra,2150000,Iraq,Point(47.81 30.488888888),47.81,30.49
Yan'an,2150000,People's Republic of China,Point(109.48628 36.59523),109.49,36.60
Havana,2141652,Cuba,Point(-82.383333333 23.116666666),-82.38,23.12
Mogadishu,2120000,Somalia,Point(45.3425 2.040833333),45.34,2.04
Jincheng,2120000,People's Republic of China,Point(112.8483 35.49056),112.85,35.49
Guatemala City,2110100,Guatemala,Point(-90.531388888 14.622777777),-90.53,14.62
Haiphong,2103500,Vietnam,Point(106.666666666 20.8),106.67,20.80
Rawalpindi,2098231,Pakistan,Point(73.033333333 33.6),73.03,33.60
Medan,2097610,Indonesia,Point(98.666666666 3.666666666),98.67,3.67
Manaus,2094391,Brazil,Point(-60.016666666 -3.1),-60.02,-3.10
Kumasi,2069350,Ghana,Point(-1.616666666 6.683333333),-1.62,6.68
Taoyuan District,2058328,Taiwan,Point(121.311111111 24.988888888),121.31,24.99
Perth,2039200,Australia,Point(115.858888888 -31.952222222),115.86,-31.95
Visakhapatnam,2035922,India,Point(83.25 17.7),83.25,17.70
Tangerang,2001925,Indonesia,Point(106.63188934 -6.17830563),106.63,-6.18
Tangerang,2001925,Indonesia,Point(106.631944444 -6.178333333),106.63,-6.18
Barquisimeto,1995770,Venezuela,Point(-69.346694444 10.067777777),-69.35,10.07
Minsk,1974800,Belarus,Point(27.561837 53.902246),27.56,53.90
Kananga,1971704,Democratic Republic of the Congo,Point(22.448833333 -5.897),22.45,-5.90
Peshawar,1970042,Pakistan,Point(71.5 34.0),71.50,34.00
Jixi,1950000,People's Republic of China,Point(130.96496 45.29366),130.96,45.29
Sapporo,1946313,Japan,Point(141.35 43.05),141.35,43.05
Caracas,1943901,Venezuela,Point(-66.933333333 10.5),-66.93,10.50
Fuxin,1930000,People's Republic of China,Point(121.648553 42.012669),121.65,42.01
Blantyre,1895973,Malawi,Point(35.005833333 -15.786111111),35.01,-15.79
Bucharest,1883425,Romania,Point(26.083333333 44.4),26.08,44.40
Bhopal,1883381,India,Point(77.416666666 23.25),77.42,23.25
